Application_ID,CRB Score,CRB Grade
C302102283,663,B
C302105394,630,C
C302108000,619,C
C302104744,671,B
C302106534,619,C
C302104301,627,C
C302109195,616,C
C302101256,682,B
C302101256,671,B
C302100376,657,B
C302100376,687,A
C302102596,250,E
C302102110,657,B
C302102110,647,B
C302100280,657,B
C302108310,621,C
C302104742,673,B
C302103212,673,B
C302103212,666,B
C302108161,618,C
C302106154,602,D
C302104544,250,E
C302103302,624,C
C302101187,696,A
C302104857,589,D
C302105251,635,C
C302100167,610,D
C302104686,649,B
C302108378,650,B
C302108152,250,E
C302100340,646,C
C302100340,594,D
C302103243,654,B
C302104361,628,C
C302102001,667,B
C302106233,618,C
C302105595,707,A
C302100418,250,E
C302108128,653,B
C302108011,603,D
C302100202,250,E
C302103896,618,C
C302107176,250,E
C302107826,250,E
C302102314,605,D
C302106873,621,C
C302103214,597,D
C302103774,671,B
C302108552,540,E
C302105997,632,C
C302103604,656,B
C302106153,574,D
C302101662,548,E
C302100059,662,B
C302100059,656,B
C302102247,651,B
C302103806,670,B
C302100556,250,E
C302105379,648,B
C302106672,641,C
C302108183,604,D
C302106653,670,B
C302105908,672,B
C302101688,250,E
C302108763,714,A
C302107218,654,B
C302105199,600,D
C302105199,596,D
C302102383,690,A
C302104981,691,A
C302102111,570,D
C302104644,597,D
C302104394,639,C
C302105481,649,B
C302102321,638,C
C302102321,638,C
C302102259,658,B
C302108462,724,A
C302108406,609,D
C302100217,602,D
C302107024,648,B
C302101443,620,C
C302101443,601,D
C302103088,629,C
C302106299,559,E
C302100278,581,D
C302101403,654,B
C302109009,651,B
C302105609,610,D
C302104618,683,A
C302100083,669,B
C302100083,650,B
C302105188,673,B
C302102496,643,C
C302102496,654,B
C302105611,614,C
C302101982,609,D
C302106560,647,B
C302103344,611,C
C302100686,621,C
C302108133,629,C
C302100030,619,C
C302104391,635,C
C302106284,687,A
C302106748,683,A
C302105865,649,B
C302102617,681,B
C302102778,622,C
C302105075,657,B
C302105075,607,D
C302105075,611,C
C302101380,603,D
C302108520,250,E
C302101947,634,C
C302104275,645,C
C302100238,596,D
C302105483,680,B
C302105483,635,C
C302109407,610,D
C302109407,556,E
C302101682,603,D
C302101682,599,D
C302108430,603,D
C302100662,633,C
C302108110,250,E
C302105911,250,E
C302107829,628,C
C302104118,690,A
C302105267,667,B
C302101771,595,D
C302105130,684,A
C302105499,645,C
C302102263,656,B
C302102263,663,B
C302101195,627,C
C302101195,639,C
C302101195,608,D
C302101797,624,C
C302106904,636,C
C302104491,636,C
C302103832,698,A
C302103832,687,A
C302107189,612,C
C302107552,620,C
C302103222,606,D
C302104792,610,D
C302108126,641,C
C302108126,642,C
C302107040,250,E
C302104466,641,C
C302100291,642,C
C302100291,642,C
C302100291,665,B
C302105213,638,C
C302101702,572,D
C302103101,704,A
C302108214,250,E
C302105089,646,C
C302105321,684,A
C302101912,648,B
C302102815,250,E
C302101752,670,B
C302103675,651,B
C302106374,680,B
C302102241,688,A
C302103671,650,B
C302108647,694,A
C302103760,686,A
C302105503,662,B
C302103640,651,B
C302100108,736,A
C302108403,612,C
C302102679,607,D
C302105325,250,E
C302103555,551,E
C302103555,250,E
C302105661,624,C
C302103812,691,A
C302100660,657,B
C302100626,660,B
C302101678,683,A
C302100086,682,B
C302108595,591,D
C302101713,669,B
C302101291,680,B
C302101291,645,C
C302100653,602,D
C302108600,694,A
C302102215,621,C
C302101180,605,D
C302101180,615,C
C302101985,598,D
C302101985,611,C
C302108298,250,E
C302101789,655,B
C302103998,625,C
C302106425,619,C
C302104123,553,E
C302101433,693,A
C302101313,250,E
C302103165,653,B
C302103165,634,C
C302106548,589,D
C302106548,584,D
C302102938,551,E
C302100533,651,B
C302106275,250,E
C302100720,250,E
C302105387,675,B
C302106830,618,C
C302105580,643,C
C302105080,574,D
C302102030,585,D
C302105669,646,C
C302100213,675,B
C302100572,592,D
C302100572,671,B
C302104383,670,B
C302107133,574,D
C302104273,602,D
C302105890,614,C
C302101843,677,B
C302100740,250,E
C302109217,596,D
C302104481,705,A
C302109025,647,B
C302101372,633,C
C302100554,639,C
C302108097,554,E
C302102056,606,D
C302107095,660,B
C302104976,699,A
C302102559,659,B
C302108945,636,C
C302105398,685,A
C302102159,661,B
C302105558,587,D
C302105144,669,B
C302102574,709,A
C302106167,631,C
C302104561,577,D
C302106070,643,C
C302108180,611,C
C302103715,685,A
C302101354,999,X
C302100696,638,C
C302106832,692,A
C302109359,641,C
C302109359,644,C
C302100473,624,C
C302101817,611,C
C302102272,633,C
C302102272,645,C
C302107920,541,E
C302101798,676,B
C302108237,548,E
C302103089,250,E
C302105072,250,E
C302106595,668,B
C302104085,250,E
C302108272,664,B
C302101231,999,X
C302107406,647,B
C302101349,722,A
C302101245,641,C
C302101245,610,D
C302105868,617,C
C302100279,250,E
C302100279,611,C
C302100279,604,D
C302100279,601,D
C302106718,621,C
C302107120,606,D
C302103982,655,B
C302109064,707,A
C302104747,250,E
C302104459,628,C
C302105822,597,D
C302100109,250,E
C302108101,666,B
C302103298,696,A
C302100574,250,E
C302100574,623,C
C302100403,639,C
C302100403,632,C
C302100403,609,D
C302104414,648,B
C302100534,692,A
C302105779,694,A
C302104132,607,D
C302104921,686,A
C302109486,640,C
C302103300,555,E
C302105926,649,B
C302100647,588,D
C302100647,637,C
C302106379,644,C
C302104725,561,D
C302103077,607,D
C302103077,617,C
C302106578,665,B
C302105419,633,C
C302108732,614,C
C302104988,701,A
C302108308,250,E
C302106925,595,D
C302104313,250,E
C302104313,250,E
C302103045,603,D
C302104283,607,D
C302104124,642,C
C302103518,691,A
C302100406,661,B
C302101323,731,A
C302108030,688,A
C302108001,585,D
C302100200,673,B
C302103210,621,C
C302100454,633,C
C302107065,583,D
C302108170,624,C
C302108170,607,D
C302108713,681,B
C302101211,635,C
C302104205,604,D
C302108718,690,A
C302100749,250,E
C302100749,610,D
C302106319,250,E
C302100424,668,B
C302105335,629,C
C302100013,631,C
C302102750,640,C
C302104751,575,D
C302108148,573,D
C302105555,582,D
C302105555,250,E
C302101892,672,B
C302104454,581,D
C302108163,594,D
C302101939,683,A
C302107816,676,B
C302103905,543,E
C302100168,694,A
C302101712,631,C
C302107320,554,E
C302108471,250,E
C302105677,594,D
C302105677,632,C
C302101084,631,C
C302101084,640,C
C302108086,619,C
C302108086,573,D
C302104252,708,A
C302108104,570,D
C302101495,636,C
C302108315,615,C
C302104355,250,E
C302100037,688,A
C302104423,683,A
C302101657,627,C
C302101468,669,B
C302104209,584,D
C302101749,673,B
C302103826,655,B
C302105832,585,D
C302105353,692,A
C302101203,664,B
C302100989,594,D
C302102914,679,B
C302107204,630,C
C302104627,666,B
C302101494,590,D
C302105864,680,B
C302101705,683,A
C302100084,631,C
C302101654,652,B
C302101654,598,D
C302103728,687,A
C302107922,250,E
C302101750,675,B
C302108078,609,D
C302102083,618,C
C302104622,676,B
C302102521,652,B
C302103053,658,B
C302106665,250,E
C302106542,615,C
C302101839,671,B
C302106263,703,A
C302103553,603,D
C302106910,615,C
C302108515,250,E
C302105030,631,C
C302105030,636,C
C302105030,639,C
C302106381,636,C
C302102356,659,B
C302104113,679,B
C302107109,636,C
C302100652,641,C
C302103554,999,X
C302103554,637,C
C302109172,250,E
C302100668,565,D
C302100668,622,C
C302106637,709,A
C302106637,697,A
C302106637,694,A
C302109158,250,E
C302107770,689,A
C302102094,654,B
C302102094,567,D
C302105648,587,D
C302100447,250,E
C302100447,613,C
C302100447,250,E
C302106245,670,B
C302102827,682,B
C302103453,574,D
C302100209,250,E
C302108823,250,E
C302105287,663,B
C302100718,625,C
C302103788,650,B
C302102905,652,B
C302103637,637,C
C302101765,646,C
C302100676,645,C
C302103669,606,D
C302102916,590,D
C302108289,614,C
C302107460,656,B
C302103732,581,D
C302102395,588,D
C302100637,702,A
C302100637,690,A
C302100131,551,E
C302104458,607,D
C302101098,657,B
C302107311,611,C
C302102641,649,B
C302101631,622,C
C302104044,250,E
C302104899,250,E
C302104993,600,D
C302105001,621,C
C302106969,566,D
C302106969,559,E
C302104242,666,B
C302101139,614,C
C302107992,250,E
C302105776,605,D
C302100869,647,B
C302105376,708,A
C302100667,565,D
C302107803,569,D
C302101895,654,B
C302102637,609,D
C302103220,593,D
C302107022,614,C
C302104946,622,C
C302100259,622,C
C302100259,626,C
C302108265,622,C
C302107173,711,A
C302104983,587,D
C302105375,647,B
C302101446,709,A
C302106617,612,C
C302100492,635,C
C302100492,616,C
C302102855,611,C
C302105266,250,E
C302105742,604,D
C302102809,250,E
C302100147,643,C
C302108399,620,C
C302100384,730,A
C302100384,711,A
C302108144,612,C
C302100669,250,E
C302104718,688,A
C302108043,673,B
C302108043,665,B
C302103917,665,B
C302102011,999,X
C302102683,650,B
C302100565,250,E
C302101627,646,C
C302105782,601,D
C302108107,579,D
C302101110,250,E
C302104723,538,E
C302107227,563,D
C302107272,687,A
C302103573,662,B
C302103968,642,C
C302103819,658,B
C302103819,638,C
C302103748,586,D
C302104858,648,B
C302105552,623,C
C302105552,593,D
C302103277,641,C
C302104758,671,B
C302106325,632,C
C302104931,999,X
C302101204,625,C
C302106331,250,E
C302104929,684,A
C302100954,591,D
C302104448,250,E
C302107784,537,E
C302102028,598,D
C302104399,644,C
C302102268,658,B
C302103877,656,B
C302104026,675,B
C302108867,701,A
C302100855,574,D
C302108276,675,B
C302107167,645,C
C302104457,665,B
C302100321,664,B
C302100440,250,E
C302102927,675,B
C302104504,607,D
C302100095,660,B
C302106097,663,B
C302106361,593,D
C302106361,552,E
C302109332,567,D
C302100992,620,C
C302100992,634,C
C302105463,687,A
C302107909,630,C
C302105561,712,A
C302101615,683,A
C302101615,650,B
C302101615,657,B
C302106102,669,B
C302105914,690,A
C302103561,647,B
C302100968,617,C
C302100968,593,D
C302100968,593,D
C302100968,589,D
C302103557,660,B
C302105203,601,D
C302106146,626,C
C302103390,664,B
C302105945,683,A
C302100622,672,B
C302101430,999,X
C302100156,624,C
C302101694,633,C
C302101694,593,D
C302102680,567,D
C302102379,680,B
C302107434,612,C
C302105181,644,C
C302102828,999,X
C302108525,620,C
C302104896,623,C
C302103276,654,B
C302101777,694,A
C302107360,704,A
C302108159,250,E
C302101225,640,C
C302106768,646,C
C302106768,634,C
C302103999,581,D
C302100604,641,C
C302105404,634,C
C302100409,660,B
C302102965,680,B
C302100026,708,A
C302108598,653,B
C302108273,250,E
C302105249,250,E
C302101689,685,A
C302102181,570,D
C302102181,250,E
C302106922,686,A
C302103437,544,E
C302106283,664,B
C302108293,587,D
C302108421,687,A
C302104873,625,C
C302104721,661,B
C302103639,661,B
C302100638,614,C
C302101453,680,B
C302109154,999,X
C302108481,629,C
C302108172,644,C
C302107197,619,C
C302103431,679,B
C302103431,669,B
C302103431,689,A
C302108928,726,A
C302109189,652,B
C302104274,547,E
C302108417,646,C
C302102365,656,B
C302106518,617,C
C302100374,250,E
C302104321,635,C
C302106618,736,A
C302107200,627,C
C302101623,250,E
C302104658,614,C
C302100709,587,D
C302102539,999,X
C302102715,688,A
C302108201,250,E
C302102499,587,D
C302102831,639,C
C302101459,591,D
C302101189,999,X
C302101091,666,B
C302100094,609,D
C302104797,565,D
C302106673,684,A
C302101528,566,D
C302106200,610,D
C302106200,597,D
C302102320,668,B
C302107240,572,D
C302107240,597,D
C302102540,669,B
C302100710,589,D
C302102000,999,X
C302102000,654,B
C302104841,250,E
C302101813,999,X
C302101813,576,D
C302107049,678,B
C302101120,670,B
C302106030,634,C
C302101763,584,D
C302100098,648,B
C302102232,651,B
C302106901,682,B
C302105134,559,E
C302105134,250,E
C302101542,650,B
C302108089,635,C
C302108216,602,D
C302106390,696,A
C302106864,645,C
C302101753,600,D
C302102887,698,A
C302100760,250,E
C302106654,665,B
C302100612,582,D
C302108008,577,D
C302108008,620,C
C302108008,588,D
C302108008,250,E
C302100738,692,A
C302106285,643,C
C302100947,595,D
C302100804,691,A
C302103536,680,B
C302103536,663,B
C302100599,584,D
C302100599,618,C
C302103610,590,D
C302103147,677,B
C302103147,683,A
C302108209,584,D
C302107125,668,B
C302107979,556,E
C302104335,604,D
C302100009,634,C
C302100009,644,C
C302101721,562,D
C302101046,533,E
C302101046,250,E
C302105847,679,B
C302100671,606,D
C302104091,679,B
C302101865,608,D
C302101865,589,D
C302106252,688,A
C302100054,635,C
C302100730,625,C
C302104292,639,C
C302103626,591,D
C302108909,640,C
C302108909,641,C
C302108483,560,E
C302100873,571,D
C302100873,576,D
C302105204,609,D
C302100242,670,B
C302101805,702,A
C302106986,622,C
C302106437,598,D
C302105991,623,C
C302105960,594,D
C302101500,647,B
C302104754,634,C
C302103256,616,C
C302105243,668,B
C302108364,622,C
C302103946,690,A
C302103452,633,C
C302104095,671,B
C302102219,687,A
C302104968,556,E
C302101330,655,B
C302107214,568,D
C302106800,683,A
C302106123,696,A
C302108361,250,E
C302102494,646,C
C302104969,250,E
C302102026,664,B
C302102026,681,B
C302100825,999,X
C302100825,637,C
C302103585,585,D
C302101280,669,B
C302104198,553,E
C302103701,615,C
C302104615,626,C
C302108494,664,B
C302105414,675,B
C302105630,622,C
C302100496,612,C
C302100496,641,C
C302102034,630,C
C302107359,601,D
C302104078,673,B
C302104078,644,C
C302103377,683,A
C302106062,250,E
C302102489,605,D
C302103386,606,D
C302103386,574,D
C302105891,999,X
C302101251,637,C
C302102817,250,E
C302104323,653,B
C302105734,662,B
C302105370,668,B
C302105958,622,C
C302101407,605,D
C302103724,658,B
C302105395,673,B
C302108411,675,B
C302104051,652,B
C302108873,652,B
C302100736,562,D
C302105521,641,C
C302107849,661,B
C302102766,605,D
C302102174,250,E
C302101557,604,D
C302105018,643,C
C302109235,611,C
C302103195,587,D
C302101838,250,E
C302108181,656,B
C302108402,604,D
C302106363,578,D
C302107086,574,D
C302107871,574,D
C302103897,663,B
C302103829,611,C
C302103708,250,E
C302103708,576,D
C302106616,600,D
C302105359,635,C
C302105351,681,B
C302108961,572,D
C302100839,999,X
C302106416,644,C
C302106422,669,B
C302109259,698,A
C302107798,638,C
C302101905,665,B
C302101365,652,B
C302101365,580,D
C302104670,574,D
C302107131,591,D
C302104380,559,E
C302108026,250,E
C302108026,250,E
C302103916,612,C
C302102626,669,B
C302102626,579,D
C302102969,659,B
C302102969,665,B
C302100011,580,D
C302107452,566,D
C302107782,250,E
C302101252,636,C
C302105137,675,B
C302103457,250,E
C302103379,643,C
C302100764,250,E
C302107191,647,B
C302108253,250,E
C302105430,576,D
C302103149,705,A
C302105143,607,D
C302100862,675,B
C302104474,550,E
C302109253,669,B
C302106234,608,D
C302104087,631,C
C302104526,604,D
C302108195,638,C
C302106421,722,A
C302109030,606,D
C302106217,656,B
C302108932,670,B
C302108932,671,B
C302105417,628,C
C302104023,643,C
C302106367,673,B
C302103396,597,D
C302101535,250,E
C302101535,531,E
C302107842,250,E
C302105489,574,D
C302106290,538,E
C302103266,605,D
C302105674,645,C
C302100927,647,B
C302106747,644,C
C302106747,655,B
C302108379,604,D
C302104071,645,C
C302109123,635,C
C302109123,626,C
C302103785,654,B
C302105013,250,E
C302101529,635,C
C302104010,648,B
C302108219,250,E
C302103691,697,A
C302103663,594,D
C302103234,670,B
C302108332,555,E
C302105494,656,B
C302108157,668,B
C302108983,689,A
C302104225,643,C
C302108022,564,D
C302107835,664,B
C302100681,650,B
C302100925,689,A
C302107901,571,D
C302106360,689,A
C302107514,691,A
C302100183,250,E
C302103692,607,D
C302103692,604,D
C302107122,668,B
C302107122,644,C
C302104537,646,C
C302100656,250,E
C302107153,654,B
C302107103,609,D
C302100246,606,D
C302103524,638,C
C302103809,634,C
C302102151,576,D
C302107231,664,B
C302105007,675,B
C302104661,599,D
C302107935,686,A
C302104284,624,C
C302104378,673,B
C302104378,665,B
C302104965,630,C
C302101108,705,A
C302101108,687,A
C302101841,655,B
C302105042,642,C
C302109351,681,B
C302100849,620,C
C302101396,646,C
C302101440,659,B
C302107959,250,E
C302102008,653,B
C302102008,578,D
C302105759,576,D
C302103218,636,C
C302105391,597,D
C302104992,658,B
C302102747,603,D
C302104898,639,C
C302103947,609,D
C302105553,691,A
C302104765,250,E
C302104837,250,E
C302108286,250,E
C302103281,661,B
C302102441,620,C
C302104902,692,A
C302109184,640,C
C302103906,651,B
C302107791,662,B
C302100785,654,B
C302104018,664,B
C302104516,684,A
C302105678,579,D
C302105678,586,D
C302105009,661,B
C302108596,250,E
C302103839,567,D
C302107066,626,C
C302108164,647,B
C302108479,563,D
C302108479,250,E
C302102445,610,D
C302100739,656,B
C302108475,588,D
C302104489,653,B
C302109282,665,B
C302104213,682,B
C302103779,691,A
C302105475,576,D
C302100036,644,C
C302100036,642,C
C302101818,664,B
C302106127,678,B
C302109229,668,B
C302101715,669,B
C302101603,645,C
C302104555,603,D
C302100620,621,C
C302100421,648,B
C302100970,597,D
C302103737,666,B
C302100563,691,A
C302100563,695,A
C302100563,708,A
C302102491,655,B
C302100047,676,B
C302105038,619,C
C302102649,691,A
C302107459,626,C
C302107815,250,E
C302103782,698,A
C302102353,632,C
C302102353,644,C
C302101609,623,C
C302108792,250,E
C302108397,614,C
C302108916,612,C
C302103602,250,E
C302104189,250,E
C302106476,670,B
C302105516,640,C
C302105968,250,E
C302107155,640,C
C302107155,640,C
C302100651,572,D
C302104436,631,C
C302104436,643,C
C302108560,629,C
C302102770,630,C
C302104682,687,A
C302104905,250,E
C302100688,708,A
C302100581,250,E
C302105185,666,B
C302103163,695,A
C302109183,674,B
C302103103,999,X
C302103103,636,C
C302102773,698,A
C302108027,613,C
C302102512,598,D
C302102512,613,C
C302103842,686,A
C302101992,632,C
C302102089,561,D
C302100596,629,C
C302105453,704,A
C302104588,669,B
C302101144,589,D
C302107190,708,A
C302108292,632,C
C302108439,589,D
C302104063,595,D
C302106559,579,D
C302106559,579,D
C302108112,643,C
C302108112,641,C
C302100137,999,X
C302106156,600,D
C302102473,250,E
C302107916,648,B
C302100691,556,E
C302107408,613,C
C302108673,675,B
C302108249,547,E
C302108249,250,E
C302104934,590,D
C302104934,590,D
C302108288,628,C
C302105846,616,C
C302105244,596,D
C302107396,675,B
C302106639,569,D
C302107436,685,A
C302107436,677,B
C302102812,686,A
C302107800,604,D
C302104777,677,B
C302108639,597,D
C302104657,683,A
C302105191,634,C
C302101419,554,E
C302101419,250,E
C302100897,675,B
C302103160,689,A
C302108014,603,D
C302108014,583,D
C302101273,601,D
C302105903,654,B
C302105821,250,E
C302103552,573,D
C302106708,607,D
C302108806,604,D
C302100633,655,B
C302100633,627,C
C302105602,643,C
C302105915,651,B
C302104766,677,B
C302100953,612,C
C302100953,671,B
C302104666,650,B
C302105261,250,E
C302108120,250,E
C302108208,611,C
C302103957,593,D
C302109468,693,A
C302100123,726,A
C302101857,636,C
C302101857,629,C
C302101857,597,D
C302105913,680,B
C302106227,999,X
C302108123,673,B
C302101360,664,B
C302100546,680,B
C302101176,637,C
C302101176,635,C
C302102534,674,B
C302102534,665,B
C302102534,654,B
C302101006,669,B
C302101006,672,B
C302105259,594,D
C302105177,610,D
C302104039,662,B
C302108024,663,B
C302109342,656,B
C302109434,250,E
C302100463,647,B
C302108305,701,A
C302105207,643,C
C302103503,660,B
C302103202,698,A
C302107926,594,D
C302101253,628,C
C302105948,250,E
C302102101,676,B
C302109067,668,B
C302108384,685,A
C302107875,624,C
C302107774,648,B
C302101668,680,B
C302106223,588,D
C302107090,639,C
C302107576,621,C
C302101336,250,E
C302108591,999,X
C302106811,663,B
C302105906,613,C
C302105906,630,C
C302108412,683,A
C302107984,620,C
C302102497,630,C
C302102966,615,C
C302101814,683,A
C302104502,666,B
C302101015,554,E
C302107850,648,B
C302101008,623,C
C302101008,622,C
C302101353,250,E
C302101353,642,C
C302101353,626,C
C302100172,603,D
C302100172,577,D
C302104082,583,D
C302106959,668,B
C302106959,675,B
C302107385,693,A
C302104783,638,C
C302103083,618,C
C302103083,546,E
C302106583,692,A
C302106016,629,C
C302107139,696,A
C302107918,610,D
C302104882,620,C
C302108106,250,E
C302105282,666,B
C302107248,621,C
C302106484,694,A
C302108651,250,E
C302105023,608,D
C302105023,540,E
C302104303,250,E
C302109119,558,E
C302107886,250,E
C302107886,250,E
C302100019,680,B
C302103522,657,B
C302107946,620,C
C302104013,575,D
C302104594,607,D
C302105299,652,B
C302102398,672,B
C302102523,662,B
C302102523,652,B
C302107009,671,B
C302108458,592,D
C302106525,573,D
C302106525,554,E
C302106525,570,D
C302105863,699,A
C302105863,697,A
C302106051,590,D
C302106051,599,D
C302106905,658,B
C302101622,633,C
C302101622,638,C
C302100663,648,B
C302101263,631,C
C302101263,654,B
C302104663,633,C
C302103201,570,D
C302103201,567,D
C302105344,596,D
C302101262,617,C
C302103611,661,B
C302107966,565,D
C302102007,551,E
C302102877,674,B
C302102877,677,B
C302103279,721,A
C302104739,593,D
C302102544,690,A
C302108935,660,B
C302107854,674,B
C302107854,664,B
C302101692,592,D
C302107823,250,E
C302108617,581,D
C302104081,647,B
C302104081,648,B
C302100254,250,E
C302105357,682,B
C302105357,682,B
C302103087,661,B
C302106567,582,D
C302100969,667,B
C302100969,673,B
C302107783,588,D
C302107783,605,D
C302100176,567,D
C302100176,537,E
C302100176,250,E
C302100365,644,C
C302101414,698,A
C302101479,613,C
C302102252,717,A
C302102980,599,D
C302104352,561,D
C302108753,583,D
C302105334,605,D
C302106628,617,C
C302101666,570,D
C302103282,607,D
C302104331,647,B
C302104331,628,C
C302108377,631,C
C302105260,687,A
C302105063,611,C
C302109191,650,B
C302107083,659,B
C302107083,621,C
C302103860,665,B
C302102807,603,D
C302102807,650,B
C302106116,623,C
C302108473,250,E
C302103018,643,C
C302108999,593,D
C302103797,585,D
C302102419,250,E
C302101333,627,C
C302100959,635,C
C302106543,250,E
C302100621,679,B
C302107289,250,E
C302104779,605,D
C302104779,609,D
C302101513,671,B
C302107144,664,B
C302100570,636,C
C302100258,250,E
C302106564,661,B
C302106564,652,B
C302104536,590,D
C302103883,624,C
C302100186,624,C
C302105869,710,A
C302105869,687,A
C302104263,589,D
C302101870,647,B
C302104268,656,B
C302101847,586,D
C302101628,999,X
C302101628,632,C
C302102605,606,D
C302101767,718,A
C302103979,557,E
C302101934,687,A
C302109205,577,D
C302103753,681,B
C302106177,650,B
C302106177,648,B
C302104695,645,C
C302105300,680,B
C302101781,659,B
C302107833,684,A
C302101302,666,B
C302107949,510,E
C302107949,250,E
C302108449,590,D
C302105696,570,D
C302100878,652,B
C302100592,613,C
C302105549,657,B
C302104710,590,D
C302104019,699,A
C302106937,605,D
C302104702,250,E
C302104785,609,D
C302103549,649,B
C302107863,661,B
C302102233,711,A
C302101643,679,B
C302107839,250,E
C302100235,559,E
C302106351,632,C
C302104410,570,D
C302107869,250,E
C302102752,675,B
C302107939,250,E
C302101743,577,D
C302102569,661,B
C302100387,639,C
C302101915,685,A
C302108457,627,C
C302100632,624,C
C302104175,579,D
C302104175,583,D
C302106502,657,B
C302101885,668,B
C302101885,635,C
C302103527,642,C
C302103395,250,E
C302100180,563,D
C302100180,606,D
C302100658,616,C
C302104851,250,E
C302104052,594,D
C302108395,250,E
C302105570,606,D
C302106315,651,B
C302106885,643,C
C302106885,587,D
C302101385,648,B
C302103778,692,A
C302105094,653,B
C302105206,660,B
C302105781,653,B
C302100062,679,B
C302106533,648,B
C302101959,999,X
C302103169,999,X
C302104294,604,D
C302106951,582,D
C302102741,661,B
C302108607,643,C
C302108607,999,X
C302100665,629,C
C302104924,689,A
C302104340,609,D
C302101082,654,B
C302101082,643,C
C302108225,526,E
C302108187,618,C
C302107063,642,C
C302106867,999,X
C302100469,617,C
C302101226,597,D
C302107424,999,X
C302105142,551,E
C302106687,250,E
C302101754,632,C
C302108285,600,D
C302100453,684,A
C302106373,610,D
C302107087,580,D
C302109386,250,E
C302101185,550,E
C302101185,575,D
C302105785,608,D
C302101065,681,B
C302101423,678,B
C302102597,618,C
C302101159,705,A
C302101159,686,A
C302107927,638,C
C302105618,664,B
C302105017,693,A
C302102402,636,C
C302101583,593,D
C302100515,567,D
C302100459,250,E
C302104716,570,D
C302107931,631,C
C302102620,609,D
C302105039,674,B
C302102865,649,B
C302103501,645,C
C302106871,649,B
C302108456,250,E
C302100166,650,B
C302100166,631,C
C302100166,250,E
C302105415,250,E
C302107052,594,D
C302101095,691,A
C302104581,629,C
C302101424,652,B
C302103350,623,C
C302104989,674,B
C302108138,573,D
C302100684,559,E
C302105778,630,C
C302105034,667,B
C302108184,250,E
C302106494,999,X
C302107427,671,B
C302102537,705,A
C302102689,644,C
C302100220,639,C
C302100220,684,A
C302102357,618,C
C302106193,666,B
C302105305,658,B
C302108064,578,D
C302105467,674,B
C302102324,606,D
C302100936,637,C
C302102789,671,B
C302107852,709,A
C302107852,696,A
C302108116,653,B
C302102533,683,A
C302103391,645,C
C302103391,609,D
C302105551,598,D
C302109300,614,C
C302104222,671,B
C302105472,623,C
C302105421,680,B
C302103936,617,C
C302104692,636,C
C302105449,581,D
C302104980,665,B
C302104980,646,C
C302106259,679,B
C302105424,597,D
C302105424,565,D
C302105399,668,B
C302105399,594,D
C302104669,598,D
C302106753,646,C
C302106133,631,C
C302105963,569,D
C302104112,656,B
C302103645,550,E
C302101573,704,A
C302101853,250,E
C302100748,602,D
C302104493,637,C
C302106624,619,C
C302105161,667,B
C302102054,688,A
C302102355,250,E
C302105788,684,A
C302101481,668,B
C302102514,999,X
C302102514,999,X
C302103902,577,D
C302103902,633,C
C302105447,651,B
C302101564,693,A
C302102763,250,E
C302108173,585,D
C302101522,649,B
C302103997,615,C
C302104762,632,C
C302104416,634,C
C302107088,250,E
C302101940,590,D
C302102830,642,C
C302101222,666,B
C302101222,601,D
C302104094,679,B
C302105938,705,A
C302103909,250,E
C302107885,250,E
C302101877,606,D
C302105237,653,B
C302105425,610,D
C302105925,635,C
C302101756,596,D
C302101585,661,B
C302106141,609,D
C302104017,622,C
C302103227,658,B
C302103227,656,B
C302108980,686,A
C302109415,616,C
C302109170,562,D
C302106317,629,C
C302108974,607,D
C302100578,250,E
C302104116,645,C
C302106349,653,B
C302105601,613,C
C302105929,609,D
C302107362,604,D
C302107362,573,D
C302102385,613,C
C302106418,669,B
C302105745,593,D
C302103067,250,E
C302101553,640,C
C302104185,671,B
C302101254,639,C
C302101359,703,A
C302101399,673,B
C302106106,692,A
C302100481,250,E
C302106014,636,C
C302101518,703,A
C302101518,691,A
C302109131,671,B
C302108154,644,C
C302105964,625,C
C302101155,652,B
C302101155,645,C
C302101155,599,D
C302101155,620,C
C302102440,670,B
C302105605,580,D
C302108512,635,C
C302102092,631,C
C302105313,661,B
C302105313,661,B
C302104495,250,E
C302104495,250,E
C302105910,250,E
C302101836,250,E
C302108903,250,E
C302103435,668,B
C302100091,250,E
C302103823,656,B
C302105572,618,C
C302106997,661,B
C302106997,640,C
C302107890,574,D
C302104135,594,D
C302102064,697,A
C302107016,665,B
C302107449,664,B
C302104059,561,D
C302104243,625,C
C302101102,562,D
C302104564,629,C
C302108190,250,E
C302101697,680,B
C302108060,604,D
C302105033,713,A
C302105656,591,D
C302100766,708,A
C302103118,684,A
C302106393,611,C
C302109285,630,C
C302105129,250,E
C302107128,658,B
C302100114,608,D
C302106359,588,D
C302103054,562,D
C302107316,579,D
C302105087,599,D
C302104957,696,A
C302103367,699,A
C302103514,683,A
C302103514,672,B
C302107263,629,C
C302108212,250,E
C302102857,683,A
C302101100,625,C
C302101100,575,D
C302101100,578,D
C302109311,556,E
C302105269,637,C
C302100823,999,X
C302100823,659,B
C302107368,619,C
C302106053,699,A
C302100745,250,E
C302103844,654,B
C302107766,612,C
C302104870,621,C
C302106838,591,D
C302100116,640,C
C302105568,638,C
C302105568,638,C
C302104943,650,B
C302107853,580,D
C302104061,250,E
C302100288,666,B
