Application_ID,CRB Score,CRB Grade
C302104746,608,D
C302103706,608,D
C302103729,581,D
C302100298,589,D
C302100298,567,D
C302100441,250,E
C302106568,250,E
C302108375,584,D
C302105000,641,C
C302103867,628,C
C302101605,711,A
C302101605,702,A
C302104055,548,E
C302105107,603,D
C302103582,680,B
C302107817,662,B
C302104199,683,A
C302102505,625,C
C302104253,605,D
C302106711,584,D
C302106711,532,E
C302105653,626,C
C302107293,625,C
C302106132,690,A
C302108772,611,C
C302108072,619,C
C302102662,657,B
C302103577,718,A
C302108372,619,C
C302100568,632,C
C302100568,614,C
C302106436,650,B
C302106436,614,C
C302108900,250,E
C302106427,684,A
C302104170,630,C
C302108198,644,C
C302103532,671,B
C302109475,573,D
C302103219,635,C
C302104573,680,B
C302100041,628,C
C302100524,623,C
C302108016,250,E
C302107030,674,B
C302102376,639,C
C302102376,625,C
C302108341,642,C
C302104959,250,E
C302100528,677,B
C302104875,571,D
C302102644,666,B
C302102541,638,C
C302100706,708,A
C302103879,597,D
C302100931,663,B
C302105416,679,B
C302109177,250,E
C302100414,250,E
C302102269,644,C
C302102269,631,C
C302105833,600,D
C302106606,596,D
C302100912,663,B
C302100912,625,C
C302106731,593,D
C302106426,674,B
C302106426,642,C
C302104999,664,B
C302108389,607,D
C302101788,619,C
C302104930,585,D
C302100201,606,D
C302102408,640,C
C302102187,605,D
C302102187,593,D
C302105720,653,B
C302106657,594,D
C302105550,649,B
C302101958,620,C
C302101958,620,C
C302101958,612,C
C302102164,649,B
C302104001,639,C
C302104852,662,B
C302104852,634,C
C302104852,624,C
C302104947,662,B
C302108301,562,D
C302108301,250,E
C302103464,250,E
C302105291,250,E
C302104302,706,A
C302102143,672,B
C302102143,656,B
C302106985,633,C
C302105724,250,E
C302101922,647,B
C302104665,250,E
C302106135,591,D
C302104894,634,C
C302104800,638,C
C302108234,651,B
C302108234,659,B
C302108050,999,X
C302102384,692,A
C302107891,699,A
C302105631,676,B
C302108768,610,D
C302101480,537,E
C302101480,559,E
C302107883,611,C
C302102593,674,B
C302104698,634,C
C302104104,648,B
C302106875,617,C
C302103597,580,D
C302106670,609,D
C302101521,683,A
C302104371,250,E
C302108859,250,E
C302108862,679,B
C302104363,673,B
C302108312,692,A
C302104089,608,D
C302106332,590,D
C302106088,611,C
C302103608,631,C
C302100215,686,A
C302104819,654,B
C302102967,250,E
C302102967,250,E
C302100035,659,B
C302100314,611,C
C302104719,597,D
C302104719,602,D
C302107919,578,D
C302106068,590,D
C302105713,626,C
C302103402,635,C
C302105698,250,E
C302104314,640,C
C302105854,682,B
C302107945,250,E
C302107895,677,B
C302100649,641,C
C302101250,651,B
C302101250,655,B
C302105445,645,C
C302105574,656,B
C302100331,603,D
C302100331,616,C
C302108199,627,C
C302105253,591,D
C302100531,655,B
C302108002,250,E
C302108002,250,E
C302104179,620,C
C302108247,250,E
C302108368,595,D
C302109450,658,B
C302106715,603,D
C302101314,694,A
C302104244,669,B
C302103535,250,E
C302103535,250,E
C302106291,664,B
C302106013,250,E
C302103472,613,C
C302103176,598,D
C302108279,645,C
C302103235,605,D
C302106726,664,B
C302101142,662,B
C302100490,635,C
C302100490,611,C
C302104237,666,B
C302101007,640,C
C302102932,632,C
C302100135,658,B
C302107140,700,A
C302103531,579,D
C302106496,667,B
C302100698,603,D
C302108800,698,A
C302108426,638,C
C302100608,664,B
C302106056,644,C
C302107749,250,E
C302104054,999,X
C302104442,661,B
C302103872,673,B
C302106541,677,B
C302108007,678,B
C302101316,682,B
C302101316,631,C
C302102098,250,E
C302102098,605,D
C302103683,685,A
C302102531,736,A
C302100386,582,D
C302106626,703,A
C302106626,695,A
C302102672,666,B
C302109223,581,D
C302102648,629,C
C302106945,250,E
C302104375,612,C
C302103996,597,D
C302102322,622,C
C302107290,678,B
C302107687,999,X
C302100449,620,C
C302107937,525,E
C302104472,250,E
C302105336,609,D
C302100107,578,D
C302101191,651,B
C302103295,571,D
C302109265,643,C
C302100008,669,B
C302103310,630,C
C302107378,612,C
C302108376,667,B
C302102610,665,B
C302102610,659,B
C302102814,581,D
C302104834,595,D
C302100636,650,B
C302107188,663,B
C302104603,250,E
C302107637,690,A
C302107778,250,E
C302106333,661,B
C302103886,250,E
C302104646,610,D
C302105654,575,D
C302107830,250,E
C302101667,697,A
C302101690,554,E
C302104780,609,D
C302100332,672,B
C302100332,686,A
C302105338,552,E
C302105338,565,D
C302103215,644,C
C302105044,669,B
C302107379,629,C
C302107171,594,D
C302107295,691,A
C302105923,693,A
C302103560,581,D
C302102487,685,A
C302102487,634,C
C302106557,612,C
C302109228,529,E
C302107834,562,D
C302101104,599,D
C302104563,610,D
C302106834,680,B
C302108822,627,C
C302106340,627,C
C302100211,666,B
C302103923,649,B
C302100514,657,B
C302100514,676,B
C302100514,652,B
C302104360,572,D
C302105211,655,B
C302104839,606,D
C302104126,606,D
C302109280,600,D
C302104538,654,B
C302104367,668,B
C302107925,687,A
C302102650,717,A
C302102548,626,C
C302100142,250,E
C302105664,645,C
C302100532,581,D
C302108012,663,B
C302102153,662,B
C302104231,650,B
C302106870,686,A
C302104736,629,C
C302106337,670,B
C302106941,600,D
C302103502,627,C
C302105977,683,A
C302103489,620,C
C302103489,575,D
C302103489,579,D
C302105397,700,A
C302101620,604,D
C302101620,623,C
C302100497,250,E
C302100497,250,E
C302103385,617,C
C302104685,610,D
C302103822,626,C
C302105703,685,A
C302103345,688,A
C302102063,617,C
C302103599,635,C
C302108751,665,B
C302101451,674,B
C302104910,613,C
C302104096,676,B
C302104096,674,B
C302104096,669,B
C302107353,710,A
C302108700,630,C
C302104991,605,D
C302107983,605,D
C302107947,669,B
C302106214,630,C
C302104260,587,D
C302104260,250,E
C302107903,250,E
C302105735,528,E
C302105735,250,E
C302103984,653,B
C302104864,627,C
C302107910,666,B
C302103236,999,X
C302104620,618,C
C302108672,601,D
C302101660,623,C
C302103043,664,B
C302105592,613,C
C302103656,579,D
C302106417,625,C
C302101891,608,D
C302104498,664,B
C302102988,657,B
C302102988,630,C
C302104939,250,E
C302109246,999,X
C302105685,675,B
C302104277,630,C
C302106195,583,D
C302106195,590,D
C302105096,624,C
C302102710,584,D
C302102710,543,E
C302104687,622,C
C302109356,633,C
C302102075,642,C
C302104387,731,A
C302105097,672,B
C302105918,636,C
C302106098,584,D
C302107814,626,C
C302105584,641,C
C302105584,631,C
C302104802,680,B
C302100020,645,C
C302109117,651,B
C302103267,680,B
C302103898,626,C
C302102606,999,X
C302108176,658,B
C302100991,693,A
C302101540,250,E
C302106676,666,B
C302106138,557,E
C302107912,686,A
C302100888,620,C
C302100888,625,C
C302100888,596,D
C302105280,622,C
C302107207,698,A
C302103869,607,D
C302107923,703,A
C302105629,681,B
C302105583,668,B
C302103250,623,C
C302109007,250,E
C302102444,644,C
C302107856,612,C
C302104465,592,D
C302106253,593,D
C302101748,692,A
C302103908,656,B
C302102627,592,D
C302106411,655,B
C302108649,999,X
C302107159,665,B
C302100504,660,B
C302107941,575,D
C302106310,596,D
C302102273,663,B
C302108304,633,C
C302104715,588,D
C302100375,250,E
C302100375,639,C
C302101581,656,B
C302101041,669,B
C302105058,662,B
C302103686,584,D
C302103269,728,A
C302104970,667,B
C302103870,250,E
C302103648,999,X
C302107142,250,E
C302101599,550,E
C302104197,613,C
C302100844,662,B
C302100844,635,C
C302101126,686,A
C302105268,625,C
C302108271,622,C
C302107059,684,A
C302107995,653,B
C302104617,655,B
C302100233,612,C
C302103781,670,B
C302101192,694,A
C302104288,653,B
C302105872,684,A
C302101220,572,D
C302104584,583,D
C302100820,654,B
C302101728,659,B
C302104583,711,A
C302108754,685,A
C302104610,661,B
C302101938,627,C
C302108972,250,E
C302109023,682,B
C302104737,621,C
C302104737,617,C
C302105998,627,C
C302109377,640,C
C302108291,688,A
C302101822,685,A
C302101822,622,C
C302101822,566,D
C302108062,641,C
C302104693,586,D
C302104267,655,B
C302105006,618,C
C302106773,612,C
C302106949,580,D
C302105450,551,E
C302104556,684,A
C302108092,250,E
C302100245,250,E
C302100245,590,D
C302100245,583,D
C302101663,627,C
C302105290,614,C
C302105290,593,D
C302107998,641,C
C302103606,590,D
C302103606,587,D
C302104117,250,E
C302106581,603,D
C302108431,671,B
C302107526,250,E
C302109480,582,D
C302104660,663,B
C302107818,636,C
C302107818,606,D
C302105240,623,C
C302105240,635,C
C302108405,643,C
C302104114,635,C
C302104114,566,D
C302100175,623,C
C302106547,601,D
C302100480,618,C
C302100480,571,D
C302100480,586,D
C302101845,706,A
C302105803,631,C
C302106648,701,A
C302107322,554,E
C302100943,615,C
C302101809,635,C
C302104767,599,D
C302107037,605,D
C302106920,673,B
C302101127,250,E
C302102299,656,B
C302100380,627,C
C302100380,583,D
C302100648,658,B
C302105330,614,C
C302100405,568,D
C302103162,645,C
C302103965,650,B
C302106224,560,E
C302104974,672,B
C302107501,572,D
C302107501,576,D
C302102684,581,D
C302109388,568,D
C302101708,676,B
C302103206,663,B
C302105071,626,C
C302104161,674,B
C302100350,672,B
C302103565,577,D
C302107843,634,C
C302107843,634,C
C302105409,555,E
C302107058,661,B
C302101137,696,A
C302103722,694,A
C302107948,606,D
C302100583,621,C
C302108165,626,C
C302103238,250,E
C302104045,250,E
C302104679,672,B
C302106095,637,C
C302106907,665,B
C302101436,658,B
C302105461,656,B
C302105461,658,B
C302105461,656,B
C302102869,626,C
C302106114,652,B
C302104022,602,D
C302106442,596,D
C302106442,557,E
C302104550,635,C
C302103261,602,D
C302105436,603,D
C302105436,559,E
C302104234,634,C
C302104234,616,C
C302105543,605,D
C302108966,628,C
C302105223,609,D
C302105223,603,D
C302105969,571,D
C302105201,600,D
C302102217,680,B
C302108321,641,C
C302104511,606,D
C302104925,250,E
C302101787,607,D
C302103000,620,C
C302106621,672,B
C302103183,607,D
C302100627,597,D
C302100357,250,E
C302100357,607,D
C302103442,650,B
C302106109,250,E
C302104600,670,B
C302104730,637,C
C302105624,250,E
C302103903,686,A
C302101606,639,C
C302100502,560,E
C302104529,639,C
C302104418,614,C
C302101393,647,B
C302100557,693,A
C302100557,633,C
C302104548,667,B
C302105752,666,B
C302103720,639,C
C302103046,640,C
C302103046,591,D
C302105646,250,E
C302102701,250,E
C302108914,250,E
C302100724,650,B
C302107954,633,C
C302108252,250,E
C302108013,600,D
C302108135,621,C
C302103387,679,B
C302101482,663,B
C302101482,658,B
C302103694,598,D
C302105337,656,B
C302103142,637,C
C302103893,593,D
C302103065,634,C
C302103065,650,B
C302104079,633,C
C302102171,717,A
C302104649,593,D
C302106960,621,C
C302106960,624,C
C302106386,644,C
C302105138,646,C
C302102185,656,B
C302105026,685,A
C302104616,577,D
C302109004,686,A
C302105257,626,C
C302104559,659,B
C302101154,593,D
C302106962,667,B
C302105056,250,E
C302107457,605,D
C302107457,600,D
C302107457,611,C
C302105163,667,B
C302106196,640,C
C302106729,691,A
C302109213,688,A
C302100160,641,C
C302100408,553,E
C302105049,631,C
C302103230,673,B
C302105079,660,B
C302105079,638,C
C302106952,550,E
C302103622,628,C
C302104421,635,C
C302102840,595,D
C302103776,663,B
C302104768,618,C
C302108599,250,E
C302104496,600,D
C302104428,681,B
C302102068,634,C
C302108340,634,C
C302100824,613,C
C302104173,571,D
C302103578,656,B
C302102835,636,C
C302102835,610,D
C302103834,636,C
C302105232,664,B
C302106364,693,A
C302106963,615,C
C302102758,630,C
C302102758,627,C
C302103960,645,C
C302106362,553,E
C302106362,593,D
C302106295,250,E
C302105620,634,C
C302100196,665,B
C302104232,647,B
C302106385,694,A
C302107341,643,C
C302106497,597,D
C302106585,663,B
C302108468,605,D
C302105422,540,E
C302106955,556,E
C302101737,999,X
C302101737,627,C
C302100841,627,C
C302100226,250,E
C302107023,677,B
C302108541,647,B
C302102407,999,X
C302102407,616,C
C302107859,588,D
C302101246,623,C
C302100867,670,B
C302100716,595,D
C302104975,656,B
C302109452,250,E
C302105296,250,E
C302100085,717,A
C302108121,250,E
C302102319,668,B
C302109408,542,E
C302109408,250,E
C302104982,653,B
C302100566,563,D
C302106134,636,C
C302102076,655,B
C302107372,630,C
C302105368,619,C
C302107409,636,C
C302103301,679,B
C302100106,676,B
C302105460,649,B
C302106218,683,A
C302109358,250,E
C302107464,666,B
C302104675,635,C
C302104668,680,B
C302108752,696,A
C302101345,590,D
C302103862,656,B
C302108401,628,C
C302108191,620,C
C302108191,568,D
C302101310,665,B
C302106596,669,B
C302106336,643,C
C302100395,623,C
C302101078,647,B
C302104575,572,D
C302108685,707,A
C302102405,671,B
C302106265,622,C
C302101710,700,A
C302103010,564,D
C302105103,611,C
C302105103,621,C
C302100634,695,A
C302106958,624,C
C302105730,677,B
C302102834,580,D
C302106501,578,D
C302106396,250,E
C302103792,667,B
C302106320,646,C
C302108048,250,E
C302100329,620,C
C302101490,635,C
C302104542,592,D
C302101364,563,D
C302108528,250,E
C302100571,680,B
C302108242,594,D
C302108352,250,E
C302101942,622,C
C302103158,999,X
C302103589,611,C
C302101395,621,C
C302102878,999,X
C302100983,669,B
C302108224,657,B
C302101432,609,D
C302104848,250,E
C302105064,615,C
C302104035,563,D
C302108119,663,B
C302108094,603,D
C302103676,694,A
C302103415,633,C
C302100193,674,B
C302103008,603,D
C302104760,250,E
C302106537,671,B
C302102780,250,E
C302109224,687,A
C302106727,674,B
C302106066,617,C
C302106115,671,B
C302102015,678,B
C302109188,682,B
C302106080,723,A
C302105515,583,D
C302104697,687,A
C302103899,648,B
C302104706,625,C
C302105663,688,A
C302107443,250,E
C302100179,606,D
C302103039,666,B
C302103039,660,B
C302103039,676,B
C302109220,250,E
C302100189,250,E
C302102194,665,B
C302105728,634,C
C302108166,599,D
C302108567,573,D
C302102894,563,D
C302102894,250,E
C302106064,250,E
C302108115,660,B
C302101719,649,B
C302108233,660,B
C302102260,682,B
C302103959,669,B
C302103959,658,B
C302106984,694,A
C302100704,250,E
C302108006,600,D
C302102955,704,A
C302100393,637,C
C302101837,730,A
C302102246,624,C
C302102246,611,C
C302104593,613,C
C302106801,687,A
C302101168,698,A
C302100476,642,C
C302100476,662,B
C302100782,585,D
C302101887,668,B
C302109053,250,E
C302109053,250,E
C302100670,634,C
C302102274,657,B
C302102837,668,B
C302102837,660,B
C302102573,686,A
C302105326,628,C
C302105099,640,C
C302102097,616,C
C302102097,613,C
C302101267,597,D
C302105112,609,D
C302100860,559,E
C302104794,671,B
C302107451,688,A
C302106019,582,D
C302101604,630,C
C302106471,577,D
C302105109,250,E
C302101492,596,D
C302105252,677,B
C302103939,671,B
C302109389,583,D
C302105234,652,B
C302106078,566,D
C302104208,631,C
C302108266,675,B
C302101665,672,B
C302105893,653,B
C302103463,713,A
C302102615,624,C
C302100646,634,C
C302100646,628,C
C302102412,625,C
C302102412,647,B
C302105569,645,C
C302108140,663,B
C302108140,648,B
C302108140,627,C
C302104966,594,D
C302108451,630,C
C302107145,649,B
C302102661,664,B
C302106742,663,B
C302103209,629,C
C302106790,574,D
C302107252,643,C
C302106539,668,B
C302106914,628,C
C302102705,663,B
C302108965,544,E
C302108400,250,E
C302100703,621,C
C302100703,627,C
C302105579,999,X
C302106989,713,A
C302100208,658,B
C302100208,638,C
C302104722,712,A
C302100346,650,B
C302100346,640,C
C302106876,686,A
C302102881,614,C
C302102881,556,E
C302103605,653,B
C302100719,600,D
C302101486,668,B
C302103047,546,E
C302104806,250,E
C302101793,636,C
C302101418,654,B
C302104810,621,C
C302103414,648,B
C302103814,597,D
C302104230,670,B
C302107034,602,D
C302100975,696,A
C302100975,687,A
C302105750,708,A
C302103789,666,B
C302103789,631,C
C302104009,675,B
C302100138,250,E
C302100087,638,C
C302106623,576,D
C302100121,661,B
C302102254,589,D
C302102254,596,D
C302105131,250,E
C302107370,569,D
C302104336,630,C
C302108609,999,X
C302104246,705,A
C302103519,592,D
C302104518,614,C
C302102183,611,C
C302104364,642,C
C302102238,734,A
C302103032,676,B
C302103032,617,C
C302100602,250,E
C302108129,628,C
C302103257,722,A
C302108526,601,D
C302105458,567,D
C302107226,640,C
C302108419,663,B
C302100913,653,B
C302108644,250,E
C302108644,250,E
C302108141,642,C
C302104701,693,A
C302105610,626,C
C302105688,655,B
C302109238,630,C
C302103421,666,B
C302101724,668,B
C302104699,560,E
C302104756,645,C
C302103506,633,C
C302103506,589,D
C302107011,250,E
C302106746,583,D
C302105524,678,B
C302100016,656,B
C302100016,642,C
C302108387,659,B
C302105946,590,D
C302105946,580,D
C302109169,250,E
C302106685,644,C
C302106685,631,C
C302104501,642,C
C302107041,683,A
C302103912,625,C
C302104639,692,A
