Application_ID,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents
C302100001,2015-09-15,Approved,39.0,Unmarried,Female,Own,Unknown,Other,Full-Time,6.0,2.0,Home Improvement,1500.59,Unknown,0,0,0,0,1500.59,7.314279825686991,6.0,0,Established,1
C302100002,2015-08-31,Approved,29.0,Unmarried,Female,Family,Unknown,Unknown,Full-Time,25.0,0.0,Debt Consolidation,3769.36,Unknown,0,0,1,0,3769.36,8.234925766599288,25.0,0,Emerging,0
C302100003,2015-09-21,Approved,24.0,Unmarried,Male,Family,Unknown,Unknown,Full-Time,7.0,0.0,Home Improvement,2197.1,Unknown,0,0,1,0,2197.1,7.695348629834028,7.0,0,Young,0
C302100004,2015-11-14,Approved,54.0,Unmarried,Male,Rent,Unknown,Unknown,Full-Time,105.0,4.0,Debt Consolidation,1094.45,False,0,0,1,0,1094.45,6.998920516734228,105.0,0,Senior,1
C302100005,2015-11-18,Approved,30.0,Unmarried,Female,Family,Unknown,Unknown,Full-Time,60.0,1.0,Vacation,3798.4,True,0,0,1,0,3798.4,8.242598438510948,60.0,0,Emerging,1
C302100006,2015-12-08,Approved,68.0,Unmarried,Male,Family,Unknown,Unknown,Retired,55.0,0.0,Other,6067.23,False,0,0,1,0,6067.23,8.71082224350751,55.0,0,Senior,0
C302100007,2016-01-03,Approved,46.0,Unmarried,Female,Own,Unknown,Education,Full-Time,108.0,0.0,Home Improvement,2334.89,True,0,0,0,0,2334.89,7.7561482537982975,108.0,0,Established,0
C302100008,2015-12-19,Approved,57.0,Unmarried,Female,Own,Unknown,Unknown,Self Employed,55.0,1.0,Home Improvement,2742.56,False,0,0,1,0,2742.56,7.917011626134136,55.0,0,Senior,1
C302100009,2015-12-20,Approved,40.0,Married,Female,Own,Pensioner,Agriculture,Self Employed,55.0,0.0,Other,2743.26,False,0,0,0,0,2743.26,7.9172667365436595,55.0,0,Established,0
C302100010,2016-01-20,Approved,58.0,Married,Female,Own,Service and Sales Worker,Food & Beverage Services,Full-Time,336.0,0.0,Debt Consolidation,1362.06,False,0,0,0,0,1362.06,7.217487451270577,336.0,0,Senior,0
C302100011,2016-01-24,Approved,55.0,Married,Male,Family,Unknown,Transportation & Communication,Contract,14.0,0.0,Other,1406.8,False,0,0,0,0,1406.8,7.249783481174031,14.0,0,Senior,0
C302100012,2016-01-31,Approved,55.0,Married,Male,Rent,Unknown,Tourism,Full-Time,88.0,0.0,Home Improvement,4392.82,False,0,0,0,0,4392.82,8.387954287153262,88.0,0,Senior,0
C302100013,2016-02-02,Approved,67.0,Unmarried,Female,Family,Pensioner,Unknown,Retired,67.0,0.0,Debt Consolidation,3379.0,False,0,1,1,0,3379.0,8.125630988477065,67.0,0,Senior,0
C302100014,2016-02-07,Approved,41.0,Unmarried,Female,Family,Unknown,Education,Full-Time,29.0,0.0,Other,1524.03,False,0,0,0,0,1524.03,7.329769360979165,29.0,0,Established,0
C302100015,2016-02-03,Approved,44.0,Married,Unknown,Family,Unknown,Civil Service,Full-Time,144.0,4.0,Education,1042.86,False,0,0,0,0,1042.86,6.9506806598335675,144.0,0,Established,1
C302100016,2016-02-10,Approved,44.0,Unmarried,Male,Family,Unknown,Civil Service,Full-Time,294.0,0.0,Debt Consolidation,5545.2,True,0,0,0,0,5545.2,8.62086828755219,294.0,0,Established,0
C302100017,2016-02-13,Approved,49.0,Married,Male,Own,Unknown,Private Security Services,Full-Time,326.0,3.0,Other,2590.48,False,0,0,0,0,2590.48,7.859984420061875,326.0,0,Established,1
C302100018,2016-02-21,Approved,28.0,Unmarried,Female,Family,Unknown,Financial,Full-Time,99.0,1.0,Debt Consolidation,1535.49,False,0,0,0,0,1535.49,7.33725587325128,99.0,0,Emerging,1
C302100019,2016-02-27,Customer Cancellation,61.0,Unmarried,Female,Own,Unknown,Science & Technology,Retired,55.0,3.0,Home Improvement,756.32,False,0,0,0,0,756.32,6.629785885384148,55.0,0,Senior,1
C302100020,2016-02-18,Customer Cancellation,33.0,Unmarried,Female,Family,Unknown,Unknown,Full-Time,122.0,2.0,Other,1400.18,False,0,1,1,0,1400.18,7.24507001774159,122.0,0,Emerging,1
C302100021,2016-02-24,Customer Cancellation,63.0,Married,Male,Own,Pensioner,Retiree/Pensioner,Unknown,55.0,5.0,Home Improvement,2376.18,False,0,0,0,0,2376.18,7.773670190197817,55.0,0,Senior,1
C302100022,2017-05-11,Approved,28.0,Other,Male,Other,Unknown,Unknown,Full-Time,101.0,0.0,Other,6575.17,False,0,0,0,0,6575.17,8.791207787983378,101.0,0,Emerging,0
C302100023,2017-05-11,Approved,58.0,Widowed,Female,Own,Pensioner,Retiree/Pensioner,Full-Time,120.0,1.0,Debt Consolidation,1115.44,False,0,0,0,0,1115.44,7.017900330472117,120.0,0,Senior,1
C302100024,2017-06-21,Approved,55.0,Other,Male,Own,Unknown,Retiree/Pensioner,Retired,55.0,6.0,Other,1542.16,False,0,0,0,0,1542.16,7.341587541089697,55.0,0,Senior,1
C302100025,2017-07-16,Approved,37.0,Unmarried,Male,Family,Unknown,Civil Service,Full-Time,96.0,0.0,Debt Consolidation,3386.35,True,0,0,0,0,3386.35,8.127803183764744,96.0,0,Established,0
C302100026,2017-07-19,Approved,61.0,Married,Male,Own,Employee,Unemployed,Contract,23.0,1.0,Other,5884.45,False,0,0,0,0,5884.45,8.680238482361517,23.0,0,Senior,1
C302100027,2017-07-18,Approved,62.0,Married,Male,Own,Professional,Civil Service,Retired,505.0,0.0,Home Improvement,4248.21,False,0,0,0,0,4248.21,8.354488362287256,480.0,0,Senior,0
C302100028,2017-07-26,Approved,39.0,Unmarried,Male,Family,Unknown,Private Security Services,Full-Time,169.0,1.0,Other,1500.59,False,0,0,0,0,1500.59,7.314279825686991,169.0,0,Established,1
C302100029,2017-08-09,Approved,29.0,Unmarried,Female,Family,Unknown,Civil Service,Full-Time,23.0,1.0,Other,3383.19,True,0,0,0,0,3383.19,8.126869865722059,23.0,0,Emerging,1
C302100030,2017-08-13,Approved,27.0,Unmarried,Female,Family,Unknown,Tourism,Full-Time,84.0,0.0,Debt Consolidation,2658.99,False,0,0,0,0,2658.99,7.886077642370181,84.0,0,Emerging,0
C302100031,2017-08-24,Approved,31.0,Unmarried,Female,Family,Professional,Education,Full-Time,12.0,0.0,Education,2508.73,True,0,0,0,0,2508.73,7.8279304566186765,12.0,0,Emerging,0
C302100032,2017-09-03,Approved,21.0,Unmarried,Male,Other,Unknown,Manufacturing,Full-Time,20.0,1.0,Home Improvement,1172.33,False,0,0,0,0,1172.33,7.067601139010907,20.0,0,Young,1
C302100033,2017-09-06,Approved,29.0,Unmarried,Female,Family,Officer,Unemployed,Full-Time,28.0,1.0,Debt Consolidation,1023.49,False,0,0,0,0,1023.49,6.9319502067723615,28.0,0,Emerging,1
C302100034,2017-09-05,Approved,21.0,Unmarried,Female,Family,Unknown,Other,Part-Time,12.0,0.0,Education,997.33,False,0,0,0,0,997.33,6.906083882977702,12.0,0,Young,0
C302100035,2017-09-11,Approved,52.0,Married,Female,Family,Pensioner,Unknown,Retired,55.0,2.0,Other,1397.91,False,0,0,1,0,1397.91,7.243448640930636,55.0,0,Senior,1
C302100036,2017-09-11,Approved,31.0,Unmarried,Male,Family,Service and Sales Worker,Unknown,Full-Time,156.0,0.0,Debt Consolidation,5899.32,False,0,0,0,0,5899.32,8.682761865711157,156.0,0,Emerging,0
C302100037,2017-09-17,Approved,62.0,Divorced,Male,Family,Pensioner,Retiree/Pensioner,Retired,74.0,0.0,Home Improvement,1626.84,False,0,0,0,0,1626.84,7.3950092616344,74.0,0,Senior,0
C302100038,2017-09-13,Approved,51.0,Married,Female,Own,Unknown,Education,Full-Time,132.0,2.0,Home Improvement,4728.84,False,0,0,0,0,4728.84,8.461646654275366,132.0,0,Senior,1
C302100039,2017-09-13,Approved,53.0,Unmarried,Female,Family,Unknown,Unknown,Full-Time,18.0,1.0,Debt Consolidation,812.82,False,0,0,1,0,812.82,6.701739211328517,18.0,0,Senior,1
C302100040,2017-09-25,Approved,24.0,Unmarried,Male,Family,Unknown,Other,Full-Time,12.0,0.0,Home Improvement,1106.45,False,0,0,0,0,1106.45,7.009815354173284,12.0,0,Young,0
C302100041,2017-10-05,Approved,31.0,Unmarried,Male,Family,Unknown,Mining & Quarrying,Contract,18.0,1.0,Other,2934.7,False,0,0,0,0,2934.7,7.984701204677179,18.0,0,Emerging,1
C302100042,2017-10-12,Approved,23.0,Unmarried,Male,Family,Unknown,Unknown,Full-Time,26.0,0.0,Other,914.42,False,0,0,1,0,914.42,6.8193829763531655,26.0,0,Young,0
C302100043,2017-09-25,Approved,67.0,Married,Female,Own,Pensioner,Retiree/Pensioner,Retired,55.0,0.0,Home Improvement,1257.79,False,0,0,0,0,1257.79,7.137906221084976,55.0,0,Senior,0
C302100044,2017-10-08,Approved,29.0,Unmarried,Female,Family,Unknown,Financial,Full-Time,57.0,0.0,Other,11319.64,False,0,0,0,0,11319.64,9.334382887261485,57.0,0,Emerging,0
C302100045,2017-11-01,Approved,38.0,Married,Female,Family,Pensioner,Retiree/Pensioner,Full-Time,86.0,1.0,Home Improvement,1264.44,False,0,0,0,0,1264.44,7.1431751667711065,86.0,0,Established,1
C302100046,2017-11-29,Approved,21.0,Unmarried,Female,Family,Unknown,Food & Beverage Services,Full-Time,13.0,0.0,Education,812.82,False,0,0,0,0,812.82,6.701739211328517,13.0,0,Young,0
C302100047,2017-12-10,Approved,48.0,Unmarried,Female,Rent,Officer,Unemployed,Full-Time,325.0,1.0,Debt Consolidation,5996.4,False,0,0,0,0,5996.4,8.699081320960838,325.0,0,Established,1
C302100048,2017-11-30,Approved,51.0,Married,Male,Family,Unknown,Tourism,Full-Time,54.0,1.0,Home Improvement,1292.38,False,0,0,0,0,1292.38,7.165014225772479,54.0,0,Senior,1
C302100049,2017-12-31,Approved,61.0,Married,Male,Own,Unknown,Retiree/Pensioner,Retired,55.0,0.0,Other,1585.67,False,0,0,0,0,1585.67,7.3693927593954855,55.0,0,Senior,0
C302100050,2017-12-28,Approved,40.0,Unmarried,Female,Own,Unknown,Education,Full-Time,39.0,1.0,Home Improvement,837.51,True,0,0,0,0,837.51,6.731626507250586,39.0,0,Established,1
C302100051,2018-01-02,Approved,48.0,Unmarried,Female,Family,Unknown,Manufacturing,Full-Time,62.0,3.0,Debt Consolidation,2741.36,False,0,0,0,0,2741.36,7.916574142532793,62.0,0,Established,1
C302100052,2018-01-02,Approved,20.0,Unmarried,Female,Family,Unknown,Business Process Outsourcing,Full-Time,16.0,0.0,Home Improvement,1422.43,False,0,0,0,0,1422.43,7.260824730939261,16.0,0,Young,0
C302100053,2018-01-17,Approved,20.0,Unmarried,Male,Family,Service and Sales Worker,Unemployed,Full-Time,13.0,0.0,Home Improvement,889.02,False,0,0,0,0,889.02,6.791243934383808,13.0,0,Young,0
C302100054,2018-01-16,Approved,57.0,Unmarried,Male,Own,Unknown,Transportation & Communication,Full-Time,55.0,0.0,Debt Consolidation,2117.54,True,0,0,0,0,2117.54,7.658482451172292,55.0,0,Senior,0
C302100055,2018-01-15,Approved,22.0,Unmarried,Male,Family,Employee,"Energy, Electricity & Water",Contract,44.0,0.0,Home Improvement,1612.35,False,0,0,0,0,1612.35,7.38606804156772,44.0,0,Young,0
C302100056,2018-01-04,Approved,69.0,Unmarried,Female,Own,Pensioner,Retiree/Pensioner,Retired,55.0,0.0,Medical,3837.3,False,0,0,0,0,3837.3,8.252784839224173,55.0,0,Senior,0
C302100057,2018-01-04,Approved,49.0,Married,Male,Own,Unknown,Unknown,Contract,28.0,0.0,Debt Consolidation,4231.04,False,0,0,1,0,4231.04,8.350439425289307,28.0,0,Established,0
C302100058,2018-02-05,Approved,24.0,Unmarried,Male,Rent,Unknown,Tourism,Full-Time,26.0,0.0,Other,1371.53,False,0,0,0,0,1371.53,7.224411031068302,26.0,0,Young,0
C302100059,2018-03-01,Approved,38.0,Unmarried,Female,Rent,Unknown,Education,Full-Time,75.0,0.0,Debt Consolidation,11635.0,False,0,0,0,0,11635.0,9.361859019615093,75.0,0,Established,0
C302100060,2018-03-07,Approved,23.0,Unmarried,Male,Rent,Unknown,Private Security Services,Contract,57.0,1.0,Home Improvement,2286.05,False,0,0,0,0,2286.05,7.735018056486026,57.0,0,Young,1
C302100061,2018-01-31,Approved,32.0,Unmarried,Female,Own,Unknown,Unknown,Full-Time,49.0,2.0,Other,2344.67,False,0,0,1,0,2344.67,7.76032635435754,49.0,0,Emerging,1
C302100062,2018-03-13,Approved,59.0,Married,Male,Own,Pensioner,Retiree/Pensioner,Retired,12.0,0.0,Home Improvement,1022.47,True,0,0,0,0,1022.47,6.93095409348466,12.0,0,Senior,0
C302100063,2018-03-21,Approved,26.0,Unmarried,Male,Family,Unknown,Private Security Services,Contract,14.0,1.0,Home Improvement,1225.64,False,0,0,0,0,1225.64,7.112034003128134,14.0,0,Emerging,1
C302100064,2018-03-26,Approved,63.0,Married,Male,Own,Pensioner,Retiree/Pensioner,Full-Time,156.0,0.0,Medical,1364.54,False,0,0,0,0,1364.54,7.219305233783877,156.0,0,Senior,0
C302100065,2018-03-20,Approved,19.0,Unmarried,Female,Family,Unknown,Manufacturing,Full-Time,15.0,0.0,Home Improvement,1205.64,False,0,0,0,0,1205.64,7.095594916459997,15.0,0,Young,0
C302100066,2018-03-20,Approved,44.0,Unmarried,Female,Family,Unknown,Transportation & Communication,Contract,39.0,2.0,Debt Consolidation,2398.1,False,0,0,0,0,2398.1,7.782848946005954,39.0,0,Established,1
C302100067,2018-03-21,Approved,48.0,Married,Male,Rent,Unknown,Education,Full-Time,78.0,2.0,Debt Consolidation,3525.04,True,0,0,0,0,3525.04,8.167930707192959,78.0,0,Established,1
C302100068,2018-03-29,Approved,29.0,Unmarried,Female,Rent,Unknown,Other,Full-Time,20.0,2.0,Other,1524.03,False,0,0,0,0,1524.03,7.329769360979165,20.0,0,Emerging,1
C302100069,2018-03-19,Approved,52.0,Unmarried,Female,Own,Unknown,Tourism,Contract,24.0,3.0,Home Improvement,1594.75,False,0,0,0,0,1594.75,7.375099124136167,24.0,0,Senior,1
C302100070,2018-04-05,Approved,30.0,Unmarried,Female,Family,Officer,Food & Beverage Services,Full-Time,16.0,4.0,Home Improvement,896.13,False,0,0,0,0,896.13,6.799200779094047,16.0,0,Emerging,1
C302100071,2018-04-09,Approved,25.0,Unmarried,Female,Family,Service and Sales Worker,Tourism,Full-Time,22.0,1.0,Home Improvement,1981.24,False,0,0,0,0,1981.24,7.591982797367429,22.0,0,Emerging,1
C302100072,2018-04-05,Approved,29.0,Unmarried,Male,Family,Unknown,Tourism,Full-Time,41.0,1.0,Other,5537.99,False,0,0,0,0,5537.99,8.619567452651442,41.0,0,Emerging,1
C302100073,2018-04-17,Approved,29.0,Married,Female,Family,Unknown,Other,Full-Time,30.0,2.0,Debt Consolidation,1756.15,False,0,0,0,0,1756.15,7.4714484573375834,30.0,0,Emerging,1
C302100074,2018-04-15,Approved,56.0,Unmarried,Female,Own,Blue Collar,Education,Contract,23.0,9.0,Home Improvement,807.78,False,0,0,0,0,807.78,6.695526939408433,23.0,0,Senior,1
C302100075,2018-04-25,Customer Cancellation,57.0,Unmarried,Male,Own,Pensioner,Retiree/Pensioner,Retired,55.0,0.0,Home Improvement,8483.0,False,0,0,0,0,8483.0,9.045937315684572,55.0,0,Senior,0
C302100076,2018-04-12,Approved,55.0,Unmarried,Male,Own,Unknown,Private Security Services,Contract,204.0,0.0,Other,2458.49,False,0,0,0,0,2458.49,7.807709290360083,204.0,0,Senior,0
C302100077,2018-05-24,Approved,33.0,Unmarried,Female,Family,Employee,Financial,Full-Time,13.0,0.0,Other,1367.72,False,0,0,0,0,1367.72,7.221631275516393,13.0,0,Emerging,0
C302100078,2018-05-15,Approved,56.0,Unmarried,Female,Rent,Unknown,Food & Beverage Services,Full-Time,240.0,0.0,Debt Consolidation,1561.31,False,0,0,0,0,1561.31,7.353920774216677,240.0,0,Senior,0
C302100079,2018-05-17,Approved,45.0,Divorced,Female,Rent,Officer,Transportation & Communication,Full-Time,36.0,1.0,Debt Consolidation,2614.07,False,0,0,0,0,2614.07,7.869046144783197,36.0,0,Established,1
C302100080,2018-05-29,Approved,25.0,Unmarried,Male,Own,Unknown,Other,Full-Time,17.0,0.0,Other,1748.94,False,0,0,0,0,1748.94,7.467336780615505,17.0,0,Emerging,0
C302100081,2018-05-28,Approved,32.0,Unmarried,Female,Family,Unknown,Education,Full-Time,16.0,2.0,Other,2548.23,False,0,0,0,0,2548.23,7.84354663176882,16.0,0,Emerging,1
C302100082,2018-06-14,Approved,25.0,Unmarried,Male,Own,Unknown,Tourism,Contract,21.0,2.0,Home Improvement,1486.31,False,0,0,0,0,1486.31,7.304724398169037,21.0,0,Emerging,1
C302100083,2018-06-10,Approved,50.0,Unmarried,Female,Own,Unknown,Unknown,Full-Time,348.0,0.0,Other,2813.6,False,0,0,1,0,2813.6,7.942575434562467,348.0,0,Senior,0
C302100084,2018-04-13,Approved,38.0,Unmarried,Female,Family,Unknown,Other,Full-Time,80.0,1.0,Home Improvement,1723.43,False,1,0,0,1,1723.43,7.452651840077249,80.0,0,Established,1
C302100085,2018-06-24,Approved,68.0,Married,Male,Own,Pensioner,Retiree/Pensioner,Retired,221.0,0.0,Debt Consolidation,19073.6,False,0,0,0,0,17503.945400000015,9.770238714275076,221.0,0,Senior,0
C302100086,2018-06-28,Approved,40.0,Unmarried,Male,Rent,Unknown,Civil Service,Full-Time,204.0,3.0,Home Improvement,5345.84,False,0,0,0,0,5345.84,8.584261011179532,204.0,0,Established,1
C302100087,2018-07-05,Approved,30.0,Married,Male,Family,Unknown,Civil Service,Full-Time,123.0,2.0,Debt Consolidation,3580.17,False,0,0,0,0,3580.17,8.183444841644604,123.0,0,Emerging,1
C302100088,2018-07-17,Approved,24.0,Unmarried,Male,Family,Unknown,Professional & Other Services,Full-Time,50.0,0.0,Debt Consolidation,1422.43,False,0,0,0,0,1422.43,7.260824730939261,50.0,0,Young,0
C302100089,2018-07-22,Approved,26.0,Unmarried,Male,Family,Unknown,Other,Full-Time,55.0,0.0,Other,3134.35,True,0,0,0,0,3134.35,8.050496089578655,55.0,0,Emerging,0
C302100090,2018-07-30,Approved,28.0,Unmarried,Female,Family,Unknown,Agriculture,Full-Time,33.0,1.0,Home Improvement,1410.72,False,0,0,0,0,1410.72,7.2525640981058,33.0,0,Emerging,1
C302100091,2018-08-13,Approved,32.0,Married,Female,Own,Unknown,Education,Full-Time,23.0,1.0,Debt Consolidation,3622.47,True,0,0,0,0,3622.47,8.195187409227081,23.0,0,Emerging,1
C302100092,2018-08-16,Approved,57.0,Married,Female,Own,Unknown,Science & Technology,Full-Time,168.0,0.0,Home Improvement,1969.52,False,0,0,0,0,1969.52,7.586052746291746,168.0,0,Senior,0
C302100093,2018-08-19,Approved,25.0,Unmarried,Female,Family,Unknown,Science & Technology,Full-Time,12.0,0.0,Home Improvement,3029.22,False,0,0,0,0,3029.22,8.016390503128362,12.0,0,Emerging,0
C302100094,2018-07-31,Approved,54.0,Unmarried,Female,Family,Unknown,Education,Full-Time,300.0,1.0,Debt Consolidation,4950.62,True,0,0,0,0,4950.62,8.507470074747971,300.0,0,Senior,1
C302100095,2018-08-21,Approved,33.0,Married,Male,Family,Unknown,Civil Service,Full-Time,72.0,3.0,Debt Consolidation,1854.08,False,0,0,0,0,1854.08,7.525683100796242,72.0,0,Emerging,1
C302100096,2018-08-30,Approved,47.0,Divorced,Male,Own,Unknown,Civil Service,Full-Time,319.0,3.0,Debt Consolidation,4776.46,True,0,0,0,0,4776.46,8.471664303499576,319.0,0,Established,1
C302100097,2018-09-03,Approved,40.0,Unmarried,Female,Family,Unknown,Civil Service,Full-Time,240.0,2.0,Home Improvement,4568.71,True,0,0,0,0,4568.71,8.427205024544334,240.0,0,Established,1
C302100098,2018-09-10,Approved,47.0,Married,Male,Rent,Unknown,Science & Technology,Full-Time,106.0,2.0,Education,6744.6,False,0,0,0,0,6744.6,8.816645719466933,106.0,0,Established,1
C302100099,2018-09-18,Approved,59.0,Widowed,Female,Own,Pensioner,Retiree/Pensioner,Retired,132.0,1.0,Other,1148.26,False,0,0,0,0,1148.26,7.0468735359754335,132.0,0,Senior,1
C302100100,2018-08-07,Approved,21.0,Unmarried,Female,Family,Service and Sales Worker,Other,Full-Time,23.0,0.0,Home Improvement,1158.94,False,0,0,0,0,1158.94,7.05612355862474,23.0,0,Young,0
C302100101,2018-09-18,Approved,43.0,Married,Male,Family,Unknown,Civil Service,Contract,120.0,1.0,Home Improvement,1792.53,False,0,0,0,0,1792.53,7.491941023902416,120.0,0,Established,1
C302100102,2018-09-13,Approved,29.0,Unmarried,Male,Family,Unknown,Civil Service,Full-Time,72.0,0.0,Debt Consolidation,2523.27,True,0,0,0,0,2523.27,7.833707190998531,72.0,0,Emerging,0
C302100103,2018-09-11,Approved,36.0,Unmarried,Female,Family,Unknown,Professional & Other Services,Full-Time,55.0,1.0,Debt Consolidation,3089.59,False,0,0,0,0,3089.59,8.03611729017668,55.0,0,Established,1
C302100104,2018-09-17,Approved,29.0,Unmarried,Female,Family,Unknown,Private Security Services,Contract,26.0,0.0,Education,1164.24,False,0,0,0,0,1164.24,7.060682353366637,26.0,0,Emerging,0
C302100105,2018-09-30,Approved,62.0,Unmarried,Female,Family,Pensioner,Retiree/Pensioner,Full-Time,12.0,0.0,Education,1610.14,False,0,0,0,0,1610.14,7.38469728194617,12.0,0,Senior,0
C302100106,2018-10-04,Approved,38.0,Unmarried,Male,Family,Unknown,Civil Service,Full-Time,192.0,0.0,Debt Consolidation,3787.95,True,0,0,0,0,3787.95,8.239844214837575,192.0,0,Established,0
C302100107,2018-09-30,Approved,37.0,Unmarried,Female,Family,Unknown,Civil Service,Full-Time,144.0,2.0,Debt Consolidation,6137.67,True,0,0,0,0,6137.67,8.722363385299488,144.0,0,Established,1
C302100108,2018-10-18,Approved,62.0,Divorced,Male,Own,Pensioner,Retiree/Pensioner,Full-Time,12.0,1.0,Home Improvement,2950.01,False,0,0,0,0,2950.01,7.989902763619001,12.0,0,Senior,1
C302100109,2018-10-24,Approved,35.0,Unmarried,Female,Family,Unknown,Transportation & Communication,Full-Time,14.0,0.0,Debt Consolidation,57715.78,False,0,0,0,0,17503.945400000015,9.770238714275076,14.0,0,Established,0
C302100110,2018-10-29,Approved,24.0,Unmarried,Male,Family,Plant and Machine Operators an,Manufacturing,Full-Time,43.0,0.0,Other,890.97,False,0,0,0,0,890.97,6.793432499727436,43.0,0,Young,0
C302100111,2018-10-29,Approved,34.0,Unmarried,Female,Rent,Unknown,Unknown,Full-Time,55.0,1.0,Debt Consolidation,1735.05,False,0,0,1,0,1735.05,7.459367696648848,55.0,0,Emerging,1
C302100112,2018-10-28,Approved,49.0,Married,Male,Own,Unknown,Mining & Quarrying,Full-Time,96.0,1.0,Home Improvement,5008.66,False,0,0,0,0,5008.66,8.51912332750457,96.0,0,Established,1
C302100113,2018-11-06,Approved,22.0,Unmarried,Male,Family,Clerical Support Worker,Unknown,Full-Time,31.0,0.0,Home Improvement,1219.23,False,0,0,1,0,1219.23,7.1067946445489385,31.0,0,Young,0
C302100114,2018-12-18,Approved,59.0,Married,Male,Own,Pensioner,Retiree/Pensioner,Full-Time,84.0,1.0,Debt Consolidation,3502.25,False,0,0,0,0,3502.25,8.161446388050328,84.0,0,Senior,1
C302100115,2018-12-17,Approved,43.0,Married,Female,Own,Pensioner,Agriculture,Retired,36.0,0.0,Home Improvement,3044.0,False,0,0,0,0,3044.0,8.021256180143997,36.0,0,Established,0
C302100116,,Approved,46.0,Married,Male,Rent,Unknown,Civil Service,Full-Time,13.0,5.0,Other,3641.36,False,0,0,0,0,3641.36,8.20038710219001,13.0,0,Established,1
C302100117,,Approved,25.0,Unmarried,Male,Family,Unknown,Private Security Services,Contract,43.0,1.0,Home Improvement,1442.75,False,0,0,0,0,1442.75,7.2749991742701035,43.0,0,Emerging,1
C302100118,,Approved,19.0,Unmarried,Male,Family,Employee,Tourism,Contract,13.0,0.0,Other,1290.18,False,0,0,0,0,1290.18,7.163311807928559,13.0,0,Young,0
C302100119,,Approved,20.0,Unmarried,Male,Family,Technician and Associate Professional,Tourism,Full-Time,14.0,0.0,Other,1592.58,False,0,0,0,0,1592.58,7.373738336550776,14.0,0,Young,0
C302100120,,Approved,26.0,Unmarried,Female,Family,Officer,Food & Beverage Services,Full-Time,18.0,1.0,Home Improvement,940.94,False,0,0,0,0,940.94,6.847941578280281,18.0,0,Emerging,1
C302100121,,Approved,56.0,Unmarried,Female,Own,Unknown,Education,Full-Time,384.0,0.0,Home Improvement,7985.77,True,0,0,0,0,7985.77,8.98554170170796,384.0,0,Senior,0
C302100122,,Approved,28.0,Unmarried,Female,Family,Clerical Support Worker,Other,Full-Time,30.0,0.0,Other,3114.65,False,0,0,0,0,3114.65,8.044193077190227,30.0,0,Emerging,0
C302100123,,Approved,69.0,Widowed,Female,Own,Pensioner,Unknown,Retired,55.0,0.0,Home Improvement,2888.63,False,0,0,1,0,2888.63,7.968883745228574,55.0,0,Senior,0
C302100124,,Approved,33.0,Unmarried,Male,Family,Unknown,Unknown,Full-Time,22.0,0.0,Other,3601.78,True,0,0,1,0,3601.78,8.189461048656254,22.0,0,Emerging,0
C302100125,,Approved,63.0,Married,Female,Own,Pensioner,Education,Full-Time,492.0,0.0,Debt Consolidation,2058.48,True,0,0,0,0,2058.48,7.630208802734057,480.0,0,Senior,0
C302100126,,Approved,29.0,Unmarried,Male,Family,Technician and Associate Professional,Construction & Installation,Contract,48.0,0.0,Other,19929.66,False,0,0,0,0,17503.945400000015,9.770238714275076,48.0,0,Emerging,0
C302100127,,Approved,29.0,Unmarried,Female,Family,Unknown,Micro & Small Enterprise,Contract,21.0,0.0,Education,1137.94,False,0,0,0,0,1137.94,7.037853284272126,21.0,0,Emerging,0
C302100128,,Approved,26.0,Unmarried,Male,Rent,Unknown,Other,Contract,19.0,0.0,Other,1778.04,False,0,0,0,0,1778.04,7.483829171954939,19.0,0,Emerging,0
C302100129,,Approved,39.0,Unmarried,Female,Rent,Clerical Support Worker,Unknown,Contract,24.0,2.0,Education,987.57,False,0,0,1,0,987.57,6.896259454468653,24.0,0,Established,1
C302100130,,Approved,60.0,Married,Female,Family,Pensioner,Education,Full-Time,50.0,0.0,Other,1164.6,False,0,0,0,0,1164.6,7.060991254880995,50.0,0,Senior,0
C302100131,2017-11-23,Customer Cancellation,40.0,Unmarried,Female,Rent,Unknown,Manufacturing,Full-Time,34.0,1.0,Debt Consolidation,1574.83,False,0,0,0,0,1574.83,7.362537396579346,34.0,0,Established,1
C302100132,2017-11-06,Approved,31.0,Unmarried,Male,Family,Service and Sales Worker,Unknown,Full-Time,156.0,0.0,Vacation,5899.32,False,0,0,0,0,5899.32,8.682761865711157,156.0,0,Emerging,0
C302100133,,Customer Cancellation,19.0,Unmarried,Male,Family,Employee,Tourism,Contract,13.0,0.0,Other,1290.18,False,0,0,0,0,1290.18,7.163311807928559,13.0,0,Young,0
C302100134,2018-04-27,Customer Cancellation,32.0,Unmarried,Male,Rent,Unknown,Manufacturing,Full-Time,102.0,1.0,Debt Consolidation,830.43,False,1,0,0,1,830.43,6.723147109881753,102.0,0,Emerging,1
