Application_ID,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents
C302103182,2018-03-04,Approved,52.0,Married,Male,Rent,Employee,Financial,Full-Time,155.0,1.0,Debt Consolidation,10753.8,False,0,0,0,0,10753.8,9.283107445527063,155.0,0,Senior,1
C302103183,2018-03-04,Approved,46.0,Unmarried,Male,Rent,Service and Sales Worker,Education,Full-Time,300.0,0.0,Debt Consolidation,7473.1,True,0,0,0,0,7473.1,8.919198989672271,300.0,0,Established,0
C302103184,2018-03-08,Approved,38.0,Unmarried,Female,Rent,Semi-Professional,Other,Full-Time,25.0,2.0,Home Improvement,1992.97,False,0,0,0,0,1992.97,7.597882905273198,25.0,0,Established,1
C302103185,2018-02-26,Approved,24.0,Unmarried,Male,Family,Blue Collar,Distribution,Full-Time,48.0,0.0,Home Improvement,2698.46,False,0,0,0,0,2698.46,7.900807031989753,48.0,0,Young,0
C302103186,2018-03-07,Approved,35.0,Unmarried,Male,Family,Clerical Support Worker,Private Security Services,Contract,180.0,5.0,Debt Consolidation,3565.28,False,0,0,0,0,3565.28,8.179278314690015,180.0,0,Established,1
C302103187,2018-03-04,Approved,34.0,Married,Female,Family,Clerical Support Worker,Civil Service,Full-Time,87.0,0.0,Debt Consolidation,1497.09,False,0,0,0,0,1497.09,7.3119462423792365,87.0,0,Emerging,0
C302103188,2018-03-05,Approved,35.0,Unmarried,Female,Family,Clerical Support Worker,Transportation & Communication,Full-Time,23.0,0.0,Other,1524.03,False,0,0,0,0,1524.03,7.329769360979165,23.0,0,Established,0
C302103189,2018-03-08,Approved,51.0,Unmarried,Male,Family,Clerical Support Worker,Other,Contract,164.0,3.0,Other,3769.75,False,0,0,0,0,3769.75,8.23502919964836,164.0,0,Senior,1
C302103190,2018-03-04,Approved,46.0,Unmarried,Female,Own,Blue Collar,Tourism,Contract,37.0,1.0,Home Improvement,1216.85,False,0,0,0,0,1216.85,7.104842287976565,37.0,0,Established,1
C302103191,2018-03-07,Approved,29.0,Unmarried,Male,Family,Officer,Civil Service,Part-Time,13.0,1.0,Debt Consolidation,2714.26,False,0,0,0,0,2714.26,7.90664299205549,13.0,0,Emerging,1
C302103192,2018-02-27,Approved,29.0,Unmarried,Male,Family,Officer,Transportation & Communication,Full-Time,51.0,0.0,Debt Consolidation,2135.67,True,0,0,0,0,2135.67,7.667003821307792,51.0,0,Emerging,0
C302103193,2018-02-25,Approved,34.0,Married,Male,Family,Officer,Private Security Services,Full-Time,123.0,2.0,Debt Consolidation,2731.26,False,0,0,0,0,2731.26,7.912884384537275,123.0,0,Emerging,1
C302103194,2018-03-03,Approved,23.0,Unmarried,Male,Rent,Elementary Occupation,Other,Full-Time,41.0,0.0,Home Improvement,961.36,False,0,0,0,0,961.36,6.869388601036946,41.0,0,Young,0
C302103195,2018-03-04,Approved,37.0,Married,Male,Family,Officer,Civil Service,Full-Time,72.0,0.0,Debt Consolidation,3823.99,True,0,0,0,0,3823.99,8.249311131878134,72.0,0,Established,0
C302103196,2018-02-07,Approved,39.0,Unmarried,Female,Family,Clerical Support Worker,Unknown,Full-Time,55.0,1.0,Other,1449.24,False,0,0,1,1,1449.24,7.279484338959532,55.0,0,Established,1
C302103197,2018-03-08,Approved,31.0,Unmarried,Female,Rent,Officer,Food & Beverage Services,Full-Time,51.0,3.0,Home Improvement,2154.16,False,0,0,0,0,2154.16,7.675620245721429,51.0,0,Emerging,1
C302103198,2018-03-07,Approved,44.0,Married,Female,Own,Employee,Civil Service,Full-Time,19.0,3.0,Other,953.25,False,0,0,0,0,953.25,6.860925691625339,19.0,0,Established,1
C302103199,2018-03-01,Approved,44.0,Unmarried,Male,Family,Employee,Construction & Installation,Full-Time,52.0,0.0,Other,5392.73,False,0,0,0,0,5392.73,8.592992446829498,52.0,0,Established,0
C302103200,2018-03-05,Approved,27.0,Unmarried,Male,Family,Semi-Professional,Unknown,Contract,12.0,2.0,Other,1802.83,False,0,0,1,0,1802.83,7.497667461148909,12.0,0,Emerging,1
C302103201,2018-01-31,Approved,37.0,Married,Female,Own,Officer,Retailing,Full-Time,25.0,3.0,Debt Consolidation,2072.68,False,0,0,0,0,2072.68,7.637080085660671,25.0,0,Established,1
C302103202,2018-03-07,Approved,49.0,Married,Female,Family,Professional,Tourism,Full-Time,68.0,1.0,Debt Consolidation,5726.08,False,0,0,0,0,5726.08,8.652961081215448,68.0,0,Established,1
C302103203,2018-03-11,Approved,28.0,Unmarried,Female,Rent,Officer,Mining & Quarrying,Unknown,7.0,0.0,Other,3128.98,False,0,0,0,0,3128.98,8.048781893737425,7.0,0,Emerging,0
C302103204,2018-03-08,Approved,33.0,Married,Male,Rent,Professional,Civil Service,Full-Time,118.0,1.0,Debt Consolidation,3364.98,True,0,0,0,0,3364.98,8.12147443296245,118.0,0,Emerging,1
C302103205,2018-03-05,Approved,50.0,Married,Female,Own,Professional,Civil Service,Full-Time,14.0,1.0,Other,1972.92,True,0,0,0,0,1972.92,7.587776692323154,14.0,0,Senior,1
C302103206,2018-02-25,Approved,56.0,Married,Female,Own,Employee,Transportation & Communication,Full-Time,227.0,0.0,Debt Consolidation,2268.85,True,0,0,0,0,2268.85,7.727469028996961,227.0,0,Senior,0
C302103207,2018-03-05,Approved,24.0,Married,Male,Rent,Employee,Unknown,Full-Time,24.0,0.0,Home Improvement,1319.91,False,0,0,1,0,1319.91,7.186076171996967,24.0,0,Young,0
C302103208,2018-03-11,Approved,40.0,Unmarried,Female,Family,Employee,Financial,Full-Time,59.0,1.0,Debt Consolidation,4798.42,False,0,0,0,0,4798.42,8.476250356261714,59.0,0,Established,1
C302103209,2018-02-21,Approved,54.0,Married,Male,Other,Employee,Private Security Services,Contract,109.0,1.0,Debt Consolidation,3142.49,False,0,0,0,0,3142.49,8.053088926650567,109.0,0,Senior,1
C302103210,2018-03-11,Approved,36.0,Unmarried,Female,Family,Clerical Support Worker,Clubs & Associations,Full-Time,84.0,0.0,Debt Consolidation,4352.03,True,0,0,0,0,4352.03,8.378627433327308,84.0,0,Established,0
C302103211,2018-03-12,Approved,26.0,Unmarried,Female,Own,Employee,Tourism,Full-Time,15.0,3.0,Home Improvement,1314.94,False,0,0,0,0,1314.94,7.182306518140716,15.0,0,Emerging,1
C302103212,2018-02-21,Approved,38.0,Unmarried,Male,Own,Officer,Other,Full-Time,85.0,0.0,Debt Consolidation,13996.95,False,0,0,0,0,13996.95,9.546666169304256,85.0,0,Established,0
C302103213,2018-03-12,Approved,30.0,Unmarried,Male,Family,Service and Sales Worker,Distribution,Full-Time,30.0,2.0,Debt Consolidation,1411.41,False,0,0,0,0,1411.41,7.2530527441764345,30.0,0,Emerging,1
C302103214,2018-03-05,Approved,30.0,Unmarried,Female,Family,Semi-Professional,Education,Full-Time,90.0,1.0,Debt Consolidation,3656.31,False,0,0,0,0,3656.31,8.204483183492984,90.0,0,Emerging,1
C302103215,2018-03-12,Approved,30.0,Unmarried,Female,Family,Professional,Education,Full-Time,18.0,1.0,Debt Consolidation,2512.08,True,0,0,0,0,2512.08,7.82926437149769,18.0,0,Emerging,1
C302103216,2018-03-04,Approved,24.0,Unmarried,Male,Family,Professional,Civil Service,Full-Time,8.0,0.0,Other,6686.16,True,0,0,0,0,6686.16,8.807944548790312,8.0,0,Young,0
C302103217,2018-03-08,Approved,62.0,Married,Female,Own,Clerical Support Worker,Professional & Other Services,Full-Time,192.0,0.0,Home Improvement,1665.55,False,0,0,0,0,1665.55,7.418510900298013,192.0,0,Senior,0
C302103218,2018-03-12,Approved,31.0,Unmarried,Male,Family,Professional,Education,Full-Time,86.0,0.0,Debt Consolidation,3714.59,True,0,0,0,0,3714.59,8.220292760154377,86.0,0,Emerging,0
